블로그,아이디,글수,주당발행,제목길이(중앙),정보형%,상업형%,뉴스형%,기타%,물음표%,숫자%,글당태그,마지막글(일전)
★ 뮤직잇츠 (나),musicits,50,6.0,40,12,26,42,20,36,70,18.7,1
클릭하기 좋은 IT,itexpert,50,12.5,35,52,16,4,28,30,48,3.6,0
짜루의 이것저것 리뷰,skdaksdptn,50,12.5,34,14,30,20,36,26,68,4.8,0
코예커플 IT,aiwositai,50,12.5,34,16,12,22,50,38,52,3.7,0
티보의 IT 자동차 리뷰 공작소,oksk2002kr,50,12.5,34,14,18,4,64,24,72,4.1,0
세수하면이병헌 IT/자동차,supapa13,50,12.5,28,22,44,2,32,14,32,3.3,0
에릭의 IT스토리,nce0623,50,12.5,41,30,38,8,24,32,70,7.2,0
"김띵크 시션, IT Insight",rlawnstn119,50,12.5,39,16,28,16,40,30,80,7.7,0
Gwoo's IT TIME,2gwoo,50,12.5,34,30,36,14,20,22,50,3.6,0
알기쉬운디지털,bluepath,50,12.5,32,72,6,4,18,8,20,8.2,0
일리야 라이프스타일,ekfgo95,50,12.5,45,6,30,12,52,84,76,12.0,0
버들붕어 스토리,djusti,50,12.5,36,20,2,12,66,34,84,17.3,0
가위남(가족을 위해 요리하는 남자),redzacal,50,12.5,29,2,60,2,36,0,68,3.3,0
옹이 일상,kkwrkdrk2,50,12.5,37,14,14,2,70,22,70,9.3,0
자유분방 IT사진,bk32167,50,12.5,36,12,20,26,42,60,78,11.7,0
이글아이의 사진여행,bsweye,50,12.5,52,0,84,14,2,0,96,15.1,0
고양이집사 리사's 포스트 IT,dean4001,50,12.5,32,50,8,4,38,34,42,7.6,0
Modulestudio,modulestudio,50,12.5,31,26,18,2,54,2,32,5.7,0
어디갓츄의 IT스토리,smallview,50,10.5,28,4,94,0,2,2,26,2.0,1
낭만테크의 IT 놀이터,yo7ung,50,8.8,42,12,14,10,64,24,76,8.4,0
슈마여행의 재밌는 IT,airbag1,50,6.5,41,4,58,12,26,12,24,8.9,0
